division,constituency_no,seat,bnp_party,bnp_candidate,jp_party,jp_candidate,alliance_party,alliance_candidate,notes
Rangpur Division,1,Panchagarh-1,BNP,Mohammad Nowshad Jamir,JP(E),,NCP,Sarjis Alam,
Rangpur Division,2,Panchagarh-2,BNP,Farhad Hossain Azad,JP(E),Md. Lutfar Rahman Ripon,Jamaat,Md. Shafiul Alam,
Rangpur Division,3,Thakurgaon-1,BNP,Mirza Fakhrul Islam Alamgir,JP(E),,Jamaat,Delwar Hossain,
Rangpur Division,4,Thakurgaon-2,BNP,Abdus Salam,JP(E),Nurun Nahar Begum,Jamaat,Abdul Hakim,
Rangpur Division,5,Thakurgaon-3,BNP,Md. Jahidur Rahman Jahid,JP(E),Hafiz Uddin Ahmed,Jamaat,Mizanur Rahman,
Rangpur Division,6,Dinajpur-1,BNP,Md. Monjurul Islam,JP(E),Md. Shahinur Islam,Jamaat,Md. Matiur Rahman,
Rangpur Division,7,Dinajpur-2,BNP,Md. Sadiq Riaz,JP(E),Md. Zulfikar Hossain,Jamaat,AKM Afzalul Anam,
Rangpur Division,8,Dinajpur-3,BNP,Syed Jahangir Alam,JP(E),Ahmed Shafi Rubel,Jamaat,Md. Mainul Alam,
Rangpur Division,9,Dinajpur-4,BNP,Md. Akhtaruzzaman Mia,JP(E),Md. Nurul Amin Shah,Jamaat,Md. Aftab Uddin Molla,
Rangpur Division,10,Dinajpur-5,BNP,AKM Kamruzzaman,JP(E),Md. Kazi Abdul Gafur,NCP,Md. Abdul Ahad,
Rangpur Division,11,Dinajpur-6,BNP,A. Z. M. Zahid Hossain,JP(E),Md. Rezaul Haque,Jamaat,Md. Anwarul Islam,
Rangpur Division,12,Nilphamari-1,JUIB,Monjurul Islam Afendi,JP(E),Md. Taslim Uddin,Jamaat,Md. Abdus Sattar,
Rangpur Division,13,Nilphamari-2,BNP,Shahrin Islam Tuhin,JP(E),,Jamaat,Alfaruk Abdul Latif,
