division_bn,constituency_no,seat_bn,slot1_party,slot1_candidate,slot2_party,slot2_candidate,slot3_party,slot3_candidate,slot4_party,slot4_candidate,notes
রংপুর বিভাগ,1,পঞ্চগড়-১,বিএনপি,মোহাম্মদ নওশাদ জমির,এনসিপি,সারজিস আলম,,আইএবি,,,জাপা
রংপুর বিভাগ,2,পঞ্চগড়-২,বিএনপি,ফরহাদ হোসেন আজাদ,জামাত,মুহাম্মদ শফিউল্লাহ সুফী,জাপা,মোঃ লুৎফর রহমান রিপন,আইএবি,কামরুল হাসান প্রধান,
রংপুর বিভাগ,3,ঠাকুরগাঁও-১,বিএনপি,মির্জা ফখরুল ইসলাম আলমগীর,জামাত,দেলওয়ার হোসেন,,আইএবি,,,জাপা | খাদেমুল ইসলাম
রংপুর বিভাগ,4,ঠাকুরগাঁও-২,বিএনপি,আব্দুস সালাম,জামাত,আব্দুল হাকিম,জাপা,নুরুন নাহার বেগম,আইএবি,রেজাউল করীম,
রংপুর বিভাগ,5,ঠাকুরগাঁও-৩,বিএনপি,জাহিদুর রহমান,জামাত,মিজানুর রহমান,জাপা,হাফিজ উদ্দিন,আইএবি,মো. আল আমিন,
রংপুর বিভাগ,6,দিনাজপুর-১,বিএনপি,মো. মনজুরুল ইসলাম,জামাত,মো. মতিউর রহমান,জাপা,শাহিনুর ইসলাম,আইএবি,মো. চাঁন মিঞা,
রংপুর বিভাগ,7,দিনাজপুর-২,বিএনপি,মো. সাদিক রিয়াজ,জামাত,এ. কে. এম. আফজালুল আনাম,জাপা,মোঃ জুলফিকার রহমান,আইএবি,রেদওয়ানুল করীম রাবিদ,
রংপুর বিভাগ,8,দিনাজপুর-৩,বিএনপি,সৈয়দ জাহাঙ্গীর আলম,জামাত,মাইনুল আলম,জাপা,আহম্মেদ শফি রুবেল,আইএবি,অধ্যক্ষ মুহা. খাইরুজ্জামান,
রংপুর বিভাগ,9,দিনাজপুর-৪,বিএনপি,আখতারুজ্জামান মিয়া,জামাত,মো. আফতাব উদ্দিন মোল্লা,জাপা,নূরল আমিন শাহ,আইএবি,আনোয়ার হোসেন নদভী,
রংপুর বিভাগ,10,দিনাজপুর-৫,বিএনপি,এ কে এম কামরুজ্জামান,এনসিপি,মো. আব্দুল আহাদ,জাপা,হাজী আব্দুল গফুর,,,আইএবি
রংপুর বিভাগ,11,দিনাজপুর-৬,বিএনপি,এ জেড এম জাহিদ হোসেন,জামাত,মো. আনোয়ারুল ইসলাম,জাপা,মোঃ রেজাউল হক,আইএবি,নূরে আলম সিদ্দিকী,
